Symbol,Average price,Average volume,Average no. of trades,Average deliverable qty,fromDate,toDate,NoOfDays
PFC,98,7436200,38180,2462638,2021-03-05,2020-03-05,365
PIDILITIND,1521,947538,39889,322210,2021-03-05,2020-03-05,365
PIIND,1889,349058,30381,213145,2021-03-05,2020-03-05,365
PNB,33,69454626,79749,14169284,2021-03-05,2020-03-05,365
POWERGRID,179,12479827,68833,6363237,2021-03-05,2020-03-05,365
RBLBANK,187,26658762,148743,3700299,2021-03-05,2020-03-05,365
RECLTD,112,7850196,36828,2326475,2021-03-05,2020-03-05,365
RELIANCE,1840,18523406,421714,5607915,2021-03-05,2020-03-05,365
SAIL,42,42517365,60720,10710041,2021-03-05,2020-03-05,365
SBILIFE,815,1678387,60754,835768,2021-03-05,2020-03-05,365
SBIN,228,63557490,339133,14044673,2021-03-05,2020-03-05,365
SIEMENS,1320,646740,31503,157041,2021-03-05,2020-03-05,365
SOUTHBANK,7,19366674,41541,8756437,2021-03-05,2020-03-05,365
SPICEJET,60,5455956,23277,2099362,2021-03-05,2020-03-05,365
SRF,4354,265200,23400,66554,2021-03-05,2020-03-05,365
SRTRANSFIN,837,4916976,101367,929038,2021-03-05,2020-03-05,365
STAR,606,1085631,26378,267889,2021-03-05,2020-03-05,365
SUNPHARMA,510,10835635,136513,2530966,2021-03-05,2020-03-05,365
SUNTV,431,2874590,39158,559632,2021-03-05,2020-03-05,365
TATACHEM,363,4017234,49704,835779,2021-03-05,2020-03-05,365
TATACONSUM,472,4718815,77700,2051179,2021-03-05,2020-03-05,365
TATAELXSI,1374,670988,33274,144064,2021-03-05,2020-03-05,365
TATAMOTORS,150,78490505,289332,10515508,2021-03-05,2020-03-05,365
TATAMTRDVR,62,7796763,25853,2750160,2021-03-05,2020-03-05,365
TATAPOWER,56,32677278,61748,7562368,2021-03-05,2020-03-05,365
TATASTEEL,441,17554302,169567,3109697,2021-03-05,2020-03-05,365
TCS,2436,4173437,165228,1677467,2021-03-05,2020-03-05,365
TECHM,747,5070873,104881,1903530,2021-03-05,2020-03-05,365
TITAN,1178,3302224,101363,881099,2021-03-05,2020-03-05,365
TORNTPHARM,2552,667239,38755,207814,2021-03-05,2020-03-05,365
TRENT,623,821381,28117,469630,2021-03-05,2020-03-05,365
TRIDENT,8,15903678,23862,6831888,2021-03-05,2020-03-05,365
TVSMOTOR,436,3285345,42654,628824,2021-03-05,2020-03-05,365
UBL,1043,725194,25641,197446,2021-03-05,2020-03-05,365
UJJIVAN,229,2958195,26991,416225,2021-03-05,2020-03-05,365
ULTRACEMCO,4397,690108,55796,239757,2021-03-05,2020-03-05,365
UPL,455,7712994,105680,2076374,2021-03-05,2020-03-05,365
VEDL,122,29723227,99044,8861298,2021-03-05,2020-03-05,365
VOLTAS,687,2376022,46008,542692,2021-03-05,2020-03-05,365
WIPRO,298,13683986,109456,3351534,2021-03-05,2020-03-05,365
YESBANK,20,147674304,150976,59316117,2021-03-05,2020-03-05,365
ZEEL,187,26280329,149732,4623076,2021-03-05,2020-03-05,365
